mix_scale,jitter_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1e-06,0.0001,4,0.9374479363877319,0.9220145964258187,0.17351223215299755,560.4244604316547,0.2303096401738003,1.9077438021294835,0.03052881569551209,1.7500000000000002e-06,0.0002,0.0002000076561034602,152.63823540694915,0.006551438421270383
1e-06,0.0001,5,0.9435674521467247,0.9288237416529556,0.1584258261132683,564.3493479752917,0.18404641753295437,1.7220125476113028,0.0330769484930004,1.7500000000000002e-06,0.0002,0.0002000076561034602,165.37841169385194,0.006046738445228252
1e-06,0.0001,6,0.942346077076616,0.9262334235636216,0.16179330280269277,568.1119299861815,0.2414576053561177,1.9560182595094329,0.03160166808832846,1.7500000000000002e-06,0.0002,0.0002000076561034602,158.00229203216858,0.006329022111884329
1e-06,0.0001,7,0.9400153022188217,0.9216073975958476,0.17754061080342803,566.2027543993879,0.2055893704527989,1.8110561132379668,0.02972421541260313,1.7500000000000002e-06,0.0002,0.0002000076561034602,148.61538798908455,0.006728778315159717
1e-06,0.0001,8,0.9425260896255372,0.9258095388925931,0.16599713049727224,567.8508287292817,0.19019818588276394,1.7437222759996842,0.031209749560232494,1.7500000000000002e-06,0.0002,0.0002000076561034602,156.04277440303724,0.006408499232506186
1e-06,0.0001,9,0.9389614333434558,0.9196678413482074,0.18364936785840905,561.8259945338597,0.2333143861615099,1.9301159272322388,0.03152518548240511,1.7500000000000002e-06,0.0002,0.0002000076561034602,157.61989364096007,0.006344376822622941
1e-06,0.0001,10,0.9414417800496129,0.9238326320849246,0.16931616649705322,556.3033150417199,0.2714604609354865,2.0770014851440015,0.03285234157737051,1.7500000000000002e-06,0.0002,0.0002000076561034602,164.25542010440148,0.0060880791596672765
1e-06,0.0001,11,0.9415293492292505,0.9249311278916462,0.16797548155256808,561.953755030754,0.24662546764011495,1.9744132302267352,0.030690428708936363,1.7500000000000002e-06,0.0002,0.0002000076561034602,153.44626954210582,0.0065169391408736645
1e-06,0.0001,12,0.9403176036727628,0.9238803475994588,0.1684643342618845,556.9720027094152,0.19809978376724757,1.7839501810331346,0.031295826965751034,1.7500000000000002e-06,0.0002,0.0002000076561034602,156.47314495582253,0.0063908730171067536
1e-06,0.0001,13,0.9343138764823656,0.9187904615665654,0.18465227394518227,569.8587709841368,0.24587806544150226,1.9692046300415578,0.030963321137592276,1.7500000000000002e-06,0.0002,0.0002000076561034602,154.8106794550681,0.0064595026875406076
1e-06,0.0001,14,0.9380080528754843,0.9209426520563689,0.177128931542981,562.2094507331155,0.24923421832500026,1.9795132342645967,0.032681739483672125,1.7500000000000002e-06,0.0002,0.0002000076561034602,163.40244228834158,0.0061198595687779874
