p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,3.0,101,0.64,0.64,0.1672,30.44523555204577,,,,,,,,
0.01,3.0,102,0.78,0.76,0.1684,30.520301746395326,,,,,,,,
0.01,3.0,103,0.32,0.32,0.15839999999999999,30.58463209998354,,,,,,,,
0.01,3.0,104,0.44,0.44,0.172,30.512848438358084,,,,,,,,
0.01,3.0,105,0.2,0.2,0.16040000000000001,30.457887839917372,,,,,,,,
0.01,3.0,106,1.0,1.0,0.16,30.525470508283163,,,,,,,,
0.01,3.0,107,0.76,0.76,0.1632,30.55864284150416,,,,,,,,
0.01,3.0,108,0.64,0.64,0.17400000000000002,30.504023993860727,,,,,,,,
0.01,3.0,109,0.56,0.56,0.1584,30.566497457133693,,,,,,,,
0.01,3.0,110,0.28,0.28,0.1672,30.51623948722712,,,,,,,,
0.01,3.0,111,1.0,1.0,0.16360000000000002,30.473093272542634,,,,,,,,
0.01,3.0,112,0.92,0.92,0.17920000000000003,30.481145721499782,,,,,,,,
0.01,3.0,113,0.64,0.64,0.1576,30.47572304814241,,,,,,,,
0.01,3.0,114,0.68,0.68,0.16119999999999998,30.507335517503375,,,,,,,,
0.01,3.0,115,0.24,0.24,0.1736,30.56912741823791,,,,,,,,
0.01,3.0,116,0.8,0.8,0.17,30.5069320545596,,,,,,,,
0.01,3.0,117,0.84,0.84,0.1744,30.544659780891482,,,,,,,,
0.01,3.0,118,1.0,1.0,0.16240000000000002,30.499010724386668,,,,,,,,
0.01,3.0,119,0.84,0.84,0.17240000000000003,30.49321753416361,,,,,,,,
0.025,1.3333333333333333,0,0.68,0.68,0.10360000000000001,74.80893377772495,,,,,,,,
0.025,1.3333333333333333,1,1.0,1.0,0.10280000000000002,74.51893601750822,,,,,,,,
0.025,1.3333333333333333,2,1.0,1.0,0.0304,75.66242889734156,,,,,,,,
0.025,1.3333333333333333,3,1.0,1.0,0.09999999999999998,74.72923268168456,,,,,,,,
0.025,1.3333333333333333,4,1.0,1.0,0.0904,74.87830454678179,,,,,,,,
0.025,1.3333333333333333,5,0.52,0.52,0.1072,74.53893113881166,,,,,,,,
0.025,1.3333333333333333,6,1.0,1.0,0.0908,74.5731291573619,,,,,,,,
0.025,1.3333333333333333,7,0.8,0.8,0.10080000000000001,74.6545678135812,,,,,,,,
0.025,1.3333333333333333,8,1.0,1.0,0.09479999999999998,74.85336008410394,,,,,,,,
0.025,1.3333333333333333,9,0.92,0.92,0.09519999999999999,74.90375512695836,,,,,,,,
0.025,1.3333333333333333,10,1.0,1.0,0.1024,74.65043870088077,,,,,,,,
0.025,1.3333333333333333,11,1.0,1.0,0.1008,74.67948100450863,,,,,,,,
0.025,1.3333333333333333,12,1.0,1.0,0.09360000000000002,74.64926619948724,,,,,,,,
0.025,1.3333333333333333,13,1.0,1.0,0.08439999999999999,74.63826233639112,,,,,,,,
0.025,1.3333333333333333,14,1.0,1.0,0.08560000000000001,74.88384010577663,,,,,,,,
0.025,1.3333333333333333,15,1.0,1.0,0.10760000000000002,74.79925939774198,,,,,,,,
0.025,1.3333333333333333,16,0.96,0.96,0.0992,74.6139929531723,,,,,,,,
0.025,1.3333333333333333,17,1.0,1.0,0.0828,75.01368832232588,,,,,,,,
0.025,1.3333333333333333,18,1.0,1.0,0.057600000000000005,75.25638535345824,,,,,,,,
0.025,1.3333333333333333,19,1.0,1.0,0.09480000000000001,74.80076618750638,,,,,,,,
0.025,1.3333333333333333,20,1.0,1.0,0.1,74.72990142120257,,,,,,,,
0.025,1.3333333333333333,21,1.0,1.0,0.09,74.67488256435492,,,,,,,,
0.025,1.3333333333333333,22,1.0,1.0,0.0824,74.6503725528085,,,,,,,,
0.025,1.3333333333333333,23,1.0,1.0,0.1012,74.71104581947532,,,,,,,,
0.025,1.3333333333333333,24,0.76,0.76,0.0944,74.83802656679649,,,,,,,,
0.025,1.3333333333333333,25,0.8,0.8,0.1128,74.85458892147221,,,,,,,,
0.025,1.3333333333333333,26,1.0,1.0,0.0752,75.07611731416281,,,,,,,,
0.025,1.3333333333333333,27,1.0,1.0,0.10160000000000002,74.53913057996077,,,,,,,,
0.025,1.3333333333333333,28,1.0,1.0,0.10360000000000001,74.68630399484668,,,,,,,,
0.025,1.3333333333333333,29,1.0,1.0,0.0956,74.74959653978297,,,,,,,,
0.025,1.3333333333333333,30,0.96,0.96,0.09960000000000001,74.96347777931749,,,,,,,,
0.025,1.3333333333333333,31,0.64,0.64,0.10840000000000001,74.87979519493639,,,,,,,,
0.025,1.3333333333333333,32,1.0,1.0,0.096,74.94273466411913,,,,,,,,
0.025,1.3333333333333333,33,1.0,1.0,0.0808,74.6458998254355,,,,,,,,
0.025,1.3333333333333333,34,1.0,1.0,0.0984,74.7460149886304,,,,,,,,
0.025,1.3333333333333333,35,0.36,0.36,0.094,74.73568968767923,,,,,,,,
0.025,1.3333333333333333,36,1.0,1.0,0.09200000000000001,74.91469812491546,,,,,,,,
0.025,1.3333333333333333,37,0.32,0.32,0.11399999999999999,74.73319884989368,,,,,,,,
0.025,1.3333333333333333,38,1.0,1.0,0.0908,74.98152394956837,,,,,,,,
0.025,1.3333333333333333,39,0.92,0.92,0.08600000000000002,74.79505617272103,,,,,,,,
0.025,1.3333333333333333,40,1.0,1.0,0.09240000000000002,74.75932707592449,,,,,,,,
0.025,1.3333333333333333,41,1.0,1.0,0.0928,74.94059006438994,,,,,,,,
0.025,1.3333333333333333,42,1.0,1.0,0.10320000000000001,74.83604768713577,,,,,,,,
0.025,1.3333333333333333,43,1.0,1.0,0.0912,74.64706116963782,,,,,,,,
0.025,1.3333333333333333,44,0.92,0.92,0.09960000000000001,74.80026034757425,,,,,,,,
0.025,1.3333333333333333,45,1.0,1.0,0.061200000000000004,75.328042812601,,,,,,,,
0.025,1.3333333333333333,46,1.0,1.0,0.055600000000000004,75.11698278200781,,,,,,,,
0.025,1.3333333333333333,47,0.96,0.96,0.09479999999999998,74.6077468369731,,,,,,,,
0.025,1.3333333333333333,48,1.0,1.0,0.094,74.74834303925557,,,,,,,,
0.025,1.3333333333333333,49,0.92,0.92,0.10080000000000001,74.75998887494771,,,,,,,,
0.025,1.3333333333333333,50,0.84,0.84,0.1032,74.64775154200666,,,,,,,,
0.025,1.3333333333333333,51,1.0,1.0,0.0772,74.7029770574437,,,,,,,,
0.025,1.3333333333333333,52,0.2,0.2,0.10799999999999998,74.96327460924634,,,,,,,,
0.025,1.3333333333333333,53,1.0,1.0,0.09760000000000002,74.77186588967305,,,,,,,,
0.025,1.3333333333333333,54,1.0,1.0,0.1,74.92494460459518,,,,,,,,
0.025,1.3333333333333333,55,1.0,1.0,0.09240000000000002,74.32282422929534,,,,,,,,
0.025,1.3333333333333333,56,1.0,1.0,0.0964,74.70155171474092,,,,,,,,
0.025,1.3333333333333333,57,1.0,1.0,0.09480000000000001,74.81703170448353,,,,,,,,
0.025,1.3333333333333333,58,1.0,1.0,0.0924,74.64830355074507,,,,,,,,
0.025,1.3333333333333333,59,1.0,1.0,0.0932,74.74860298475657,,,,,,,,
0.025,1.3333333333333333,60,0.96,0.96,0.0956,74.64277378219823,,,,,,,,
0.025,1.3333333333333333,61,1.0,1.0,0.1,74.80823572876712,,,,,,,,
0.025,1.3333333333333333,62,1.0,1.0,0.0796,74.81800989100743,,,,,,,,
0.025,1.3333333333333333,63,1.0,1.0,0.08,75.02900037136328,,,,,,,,
0.025,1.3333333333333333,64,1.0,1.0,0.1,74.56121219363582,,,,,,,,
0.025,1.3333333333333333,65,0.76,0.76,0.09720000000000001,74.91670806840968,,,,,,,,
0.025,1.3333333333333333,66,1.0,1.0,0.04400000000000001,75.50986574477525,,,,,,,,
0.025,1.3333333333333333,67,1.0,1.0,0.09600000000000002,74.72115327090363,,,,,,,,
