p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,1.3333333333333333,110,1.0,1.0,0.1592,30.56183475558505,,,,,,,,
0.01,1.3333333333333333,111,1.0,1.0,0.138,30.558599858600275,,,,,,,,
0.01,1.3333333333333333,112,1.0,1.0,0.0924,30.52837248048434,,,,,,,,
0.01,1.3333333333333333,113,1.0,1.0,0.134,30.607021283923768,,,,,,,,
0.01,1.3333333333333333,114,0.66,0.68,0.15000000000000002,30.563095439983464,,,,,,,,
0.01,1.3333333333333333,115,1.0,1.0,0.15280000000000002,30.525849936223793,,,,,,,,
0.01,1.3333333333333333,116,1.0,1.0,0.14,30.565323068962936,,,,,,,,
0.01,1.3333333333333333,117,1.0,1.0,0.1296,30.53990521176291,,,,,,,,
0.01,1.3333333333333333,118,1.0,1.0,0.126,30.483284912089488,,,,,,,,
0.01,1.3333333333333333,119,0.8,0.8,0.1552,30.428954886760543,,,,,,,,
0.01,3.0,0,0.32,0.32,0.1596,30.52187396143247,,,,,,,,
0.01,3.0,1,1.0,1.0,0.1464,30.485497647811773,,,,,,,,
0.01,3.0,2,0.42,0.44,0.1684,30.41697300417757,,,,,,,,
0.01,3.0,3,1.0,1.0,0.1632,30.459500819926134,,,,,,,,
0.01,3.0,4,0.52,0.52,0.1476,30.4887117182743,,,,,,,,
0.01,3.0,5,0.88,0.88,0.16400000000000003,30.535572396479242,,,,,,,,
0.01,3.0,6,0.3,0.32,0.17,30.50704671615841,,,,,,,,
0.01,3.0,7,1.0,1.0,0.1464,30.540760863901006,,,,,,,,
0.01,3.0,8,0.4,0.4,0.16400000000000003,30.448722305912625,,,,,,,,
0.01,3.0,9,0.96,0.96,0.1784,30.48844053077804,,,,,,,,
0.01,3.0,10,0.44,0.48,0.1632,30.500779947572205,,,,,,,,
0.01,3.0,11,0.56,0.56,0.16399999999999998,30.47544223642161,,,,,,,,
0.01,3.0,12,0.96,0.96,0.1552,30.505256838584998,,,,,,,,
0.01,3.0,13,1.0,1.0,0.1672,30.460359982007486,,,,,,,,
0.01,3.0,14,0.92,0.92,0.174,30.481198915741615,,,,,,,,
0.01,3.0,15,0.2,0.2,0.1648,30.432355152321264,,,,,,,,
0.01,3.0,16,0.84,0.84,0.16399999999999998,30.529066631361353,,,,,,,,
0.01,3.0,17,0.72,0.72,0.1564,30.469728669797302,,,,,,,,
0.01,3.0,18,0.96,0.96,0.16959999999999997,30.508879870204463,,,,,,,,
0.01,3.0,19,0.72,0.72,0.1664,30.52051295863272,,,,,,,,
0.01,3.0,20,1.0,1.0,0.16080000000000003,30.481269898280473,,,,,,,,
0.01,3.0,21,1.0,1.0,0.15960000000000002,30.540933589077586,,,,,,,,
0.01,3.0,22,0.76,0.76,0.1736,30.450326944360448,,,,,,,,
0.01,3.0,23,0.96,0.96,0.16240000000000002,30.5256550595153,,,,,,,,
0.01,3.0,24,0.76,0.76,0.17280000000000004,30.493214615062467,,,,,,,,
0.01,3.0,25,1.0,1.0,0.1472,30.481393190427653,,,,,,,,
0.01,3.0,26,0.88,0.88,0.1636,30.484472708692234,,,,,,,,
0.01,3.0,27,1.0,1.0,0.156,30.498889114355997,,,,,,,,
0.01,3.0,28,0.68,0.68,0.1524,30.50518713740832,,,,,,,,
0.01,3.0,29,0.88,0.88,0.1548,30.46681360561597,,,,,,,,
0.01,3.0,30,0.96,0.96,0.18280000000000002,30.52858189675876,,,,,,,,
0.01,3.0,31,0.52,0.52,0.1648,30.532980733792982,,,,,,,,
0.01,3.0,32,0.8,0.8,0.16520000000000004,30.588127489749116,,,,,,,,
0.01,3.0,33,0.28,0.28,0.16,30.54199526786689,,,,,,,,
0.01,3.0,34,0.46,0.48,0.1616,30.558173444213026,,,,,,,,
0.01,3.0,35,0.12,0.12,0.16920000000000002,30.53090985748294,,,,,,,,
0.01,3.0,36,0.96,0.96,0.15839999999999999,30.529489678384877,,,,,,,,
0.01,3.0,37,0.96,0.96,0.158,30.56300929874406,,,,,,,,
0.01,3.0,38,0.5,0.48,0.17679999999999998,30.526583970713858,,,,,,,,
0.01,3.0,39,1.0,1.0,0.16399999999999998,30.560344489555927,,,,,,,,
0.01,3.0,40,0.56,0.56,0.1648,30.5472295792889,,,,,,,,
0.01,3.0,41,0.6,0.6,0.1664,30.439298038258347,,,,,,,,
0.01,3.0,42,0.2,0.2,0.1628,30.533585104850705,,,,,,,,
0.01,3.0,43,0.34,0.36,0.1672,30.496495454288066,,,,,,,,
0.01,3.0,44,1.0,1.0,0.16440000000000002,30.555823914243334,,,,,,,,
0.01,3.0,45,0.22,0.2,0.15760000000000002,30.512423520588914,,,,,,,,
0.01,3.0,46,1.0,1.0,0.15560000000000002,30.461989034746367,,,,,,,,
