p_s,mix_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
0.01,1.0,28,0.13020285499624343,0.1001279444224184,3.393180440823743,293.0951915852742,3.467547248787014,14.863816635798594,0.02967901099049536,1.75,0.0,1.75,0.016959434851711634,58.96422898190353
0.01,1.0,29,0.10683106141828765,0.09975460439907705,3.3988543587476703,298.5179966304181,3.493614394683391,15.104795229711492,0.029407045668893936,1.75,0.0,1.75,0.01680402609651082,59.509548143801055
0.025,0.0001,0,0.9281667799682756,0.9114517299351557,0.19742543407926838,734.8426618324647,0.19418326768209226,1.7678148640786553,0.03041404330450384,0.00017500000000000003,0.0,0.00017500000000000003,173.79453316859335,0.005753920918961974
0.025,0.0001,1,0.933414596983087,0.9167093379178956,0.1875252766873867,741.5054091116867,0.22415597704821266,1.8810608882909872,0.02954892468921913,0.00017500000000000003,0.0,0.00017500000000000003,168.8509982241093,0.005922381333350125
0.025,0.0001,2,0.9338855652707471,0.9150291177342901,0.19021000298712826,746.3949992330112,0.2859685314761009,2.111185974510577,0.03480263306887942,0.00017500000000000003,0.0,0.00017500000000000003,198.87218896502523,0.005028355172255209
0.025,0.0001,3,0.9312327506899724,0.912862174747716,0.19697012068947906,745.8688285801901,0.24519887249334715,1.962594592689669,0.028653819862458102,0.00017500000000000003,0.0,0.00017500000000000003,163.73611349976056,0.006107388154180552
0.025,0.0001,4,0.9376302470973504,0.9196159936085101,0.1826130064397508,724.4565346829413,0.22340719561907463,1.893335359953041,0.030494336377150346,0.00017500000000000003,0.0,0.00017500000000000003,174.2533507265734,0.005738770564986912
0.025,0.0001,5,0.9311805187930122,0.9098423564165595,0.2037711212188735,736.1445965363382,0.28534057829529047,2.1311227991531037,0.03089921581214501,0.00017500000000000003,0.0,0.00017500000000000003,176.56694749797148,0.0056635741522998734
0.025,0.0001,6,0.9331673832692162,0.9155512705858919,0.19052099687694563,734.0328882854341,0.2737048444978427,2.0814384031073656,0.03337806776084967,0.00017500000000000003,0.0,0.00017500000000000003,190.7318157762838,0.005242963770517111
0.025,0.0001,7,0.9309556470050298,0.9145484258552325,0.1898988474434458,741.4891022709953,0.26585272402735427,2.0424316144860137,0.031689178263656935,0.00017500000000000003,0.0,0.00017500000000000003,181.08101864946818,0.005522389963664681
0.025,0.0001,8,0.9375385089340728,0.9187562290722648,0.18258132503545657,749.6672057917436,0.21569796447874978,1.8397919315737958,0.03210060694964542,0.00017500000000000003,0.0,0.00017500000000000003,183.43203971225952,0.005451610316107529
0.025,0.0001,9,0.9251797483523068,0.9089171889125619,0.20256308808607892,728.9241312162972,0.17804873225395568,1.706782075732932,0.03265727013486612,0.00017500000000000003,0.0,0.00017500000000000003,186.61297219923495,0.005358684276955639
0.025,0.0001,10,0.9321366356131182,0.9138534904218928,0.19302301638315866,737.2263879421344,0.20711278828093782,1.8229718591174542,0.03246986170428305,0.00017500000000000003,0.0,0.00017500000000000003,185.54206688161742,0.005389613346487276
0.025,0.0001,11,0.947455961291298,0.931065970009204,0.15866148853046463,735.5515990020413,0.21098482696106657,1.8317063379459468,0.032791329862014766,0.00017500000000000003,0.0,0.00017500000000000003,187.3790277829415,0.005336776542348126
0.025,0.0001,12,0.9224137931034483,0.9044164178929699,0.21343392435856734,729.1656671664168,0.26984649876249023,2.067690798272147,0.03029179069173566,0.00017500000000000003,0.0,0.00017500000000000003,173.09594680991805,0.0057771427836963195
0.025,0.0001,13,0.9314620416856838,0.9119324601573822,0.2000557765740355,740.6524418073939,0.28523193349246867,2.110012715282,0.031015263044028695,0.00017500000000000003,0.0,0.00017500000000000003,177.2300745373068,0.005642383227624839
0.025,0.0001,14,0.9300953245574217,0.9102381125404548,0.20013901018076508,736.4083825087002,0.273805643315427,2.094761265063585,0.029773396520363607,0.00017500000000000003,0.0,0.00017500000000000003,170.13369440207774,0.00587773047258173
0.025,0.0001,15,0.9271693823417961,0.9089992655732482,0.20270298774282422,737.7227737779461,0.32979642422287725,2.3149213506749544,0.030941420051584977,0.00017500000000000003,0.0,0.00017500000000000003,176.80811458048555,0.005655849011074579
0.025,0.0001,16,0.9294457538204212,0.9096676553989511,0.2029455485787665,739.6923895689197,0.31228837321395986,2.2524833064584646,0.03073669801419797,0.00017500000000000003,0.0,0.00017500000000000003,175.6382743668455,0.005693519841303825
0.025,0.0001,17,0.9457434052757794,0.9293280093442073,0.15787354637272225,729.5415167865707,0.30454554143943824,2.208540417150549,0.031160671318057297,0.00017500000000000003,0.0,0.00017500000000000003,178.0609789603274,0.005616053589275186
0.025,0.0001,18,0.930479242979243,0.9097036033275754,0.20432172218087893,742.307615995116,0.2373455288761761,1.9440288551523615,0.029540769617412657,0.00017500000000000003,0.0,0.00017500000000000003,168.80439781378658,0.005924016275352798
0.025,0.0001,19,0.9314653540325635,0.9142312883961345,0.19067957688912318,737.2757288905717,0.2501215489464812,2.004785612081289,0.03248180848884934,0.00017500000000000003,0.0,0.00017500000000000003,185.6103342219962,0.0053876310507795675
0.025,0.0001,20,0.9310371220818981,0.911618772833354,0.19661875562450415,745.1795637198622,0.4969802718842402,2.9918966723155127,0.03118457764179866,0.00017500000000000003,0.0,0.00017500000000000003,178.19758652456375,0.005611748281799285
0.025,0.0001,21,0.9351497410493133,0.9161124667068034,0.18824874834533828,730.4833746153269,0.23405763693153858,1.9335625993419234,0.03073880654318041,0.00017500000000000003,0.0,0.00017500000000000003,175.65032310388804,0.005693129294208881
0.025,0.0001,22,0.9355378183200304,0.9175911856795058,0.18361309033331566,740.0481946028126,0.24333305269828998,1.9663182153707903,0.03067709831296662,0.00017500000000000003,0.0,0.00017500000000000003,175.29770464552354,0.005704581255197493
0.025,0.0001,23,0.9357441948991245,0.9165369623316442,0.19010242797008803,741.3434335744195,0.2636319415469188,2.0416342482777714,0.02894018390973413,0.00017500000000000003,0.0,0.00017500000000000003,165.372479484195,0.006046955352662364
0.025,0.0001,24,0.93422674060382,0.9144720232543235,0.19162272798598826,749.7426833025262,0.25102662030258216,1.9959697846134365,0.029642361175527984,0.00017500000000000003,0.0,0.00017500000000000003,169.384921003017,0.0059037132353840895
0.025,0.0001,25,0.92670077116897,0.9069068036293237,0.21261679300720152,742.9647247461251,0.3248780501598958,2.2871160373410833,0.032244002961900296,0.00017500000000000003,0.0,0.00017500000000000003,184.2514454965731,0.005427365833168452
0.025,0.0001,26,0.9242261722341404,0.9056543416331877,0.20898042941676692,745.3581826539994,0.20748821896268055,1.8233413432176047,0.03225568030327407,0.00017500000000000003,0.0,0.00017500000000000003,184.31817316156608,0.005425400994634638
0.025,0.0001,27,0.9334749298338769,0.91472318171878,0.19038431098643002,738.2060987635591,0.22182574606267735,1.8743955867073998,0.03380362053451493,0.00017500000000000003,0.0,0.00017500000000000003,193.16354591151386,0.005176960255524037
0.025,0.0001,28,0.9505086820163696,0.9340831869176811,0.15029350635174385,744.398760804712,0.28709980082930997,2.1353242461437176,0.03197977376066687,0.00017500000000000003,0.0,0.00017500000000000003,182.74156434666781,0.005472208818914132
0.025,0.0001,29,0.9352269311692215,0.917975237214352,0.1885169026869616,731.3981064021641,0.2608703628939111,2.035753530247442,0.029696519093011294,0.00017500000000000003,0.0,0.00017500000000000003,169.69439481720738,0.005892946558884206
0.025,0.001,0,0.572842677950733,0.5010590448908493,1.3501427773548773,735.2946199183921,0.21602727787103504,1.8557134176526326,0.03223463020412738,0.00175,0.0,0.00175,18.41978868807279,0.054289439305431425
0.025,0.001,1,0.5680954552363581,0.4899758205679269,1.3804949714420305,739.7526979784162,0.2180595101963263,1.8594316969838298,0.0316869629448196,0.00175,0.0,0.00175,18.106835968468342,0.05522776048457185
0.025,0.001,2,0.5879450390951187,0.5113510020224484,1.3123935194952603,738.6426782054202,0.2794254128530156,2.1153884652064,0.03158573396746795,0.00175,0.0,0.00175,18.048990838553113,0.05540475968683933
0.025,0.001,3,0.5822283188538333,0.5103176321429191,1.3124903462967539,742.0328456028044,0.2806830867775716,2.1377267376399884,0.03086217173333378,0.00175,0.0,0.00175,17.63552670476216,0.056703721796410415
0.025,0.001,4,0.5703130865680607,0.4969653225557316,1.3491942345694186,731.1130715519183,0.3576371575181838,2.451973637204226,0.03175847467802913,0.00175,0.0,0.00175,18.147699816016644,0.055103402091620915
0.025,0.001,5,0.6472721777240441,0.5834576157487622,1.1102291786662613,735.5054405319631,0.24740441321046092,2.014027483584142,0.031118493773575624,0.00175,0.0,0.00175,17.781996442043212,0.05623665504935263
0.025,0.001,6,0.5827435627164583,0.5025941247790561,1.3246087063192005,733.0082065953923,0.21316326275700703,1.8487165114000332,0.03132588368688457,0.00175,0.0,0.00175,17.90050496393404,0.05586434583911467
0.025,0.001,7,0.5375077017868145,0.46125219767086817,1.4613398994864977,749.1577325939618,0.25855889706872404,2.035156560624723,0.03143779682357332,0.00175,0.0,0.00175,17.96445532775618,0.05566547839916632
0.025,0.001,8,0.6031697884279973,0.5292052104355549,1.2535009411771347,738.2686736937893,0.21833104774123058,1.8654480105163076,0.03297100945023248,0.00175,0.0,0.00175,18.840576828704272,0.05307693119440299
