mix_scale,jitter_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1e-06,0.0005,15,0.5730935473911701,0.49773257713069385,1.3281757661829416,571.1759802408151,0.2617484748188872,2.0307336971180137,0.030136430593641468,1.7500000000000002e-06,0.001,0.0010000015312488276,30.136384447338113,0.03318248085623715
1e-06,0.0005,16,0.5464027407689379,0.4661022920265206,1.4501461806116873,563.4057860677578,0.2339244249742478,1.9016132787201663,0.03039614713723743,1.7500000000000002e-06,0.001,0.0010000015312488276,30.396100593244032,0.032898956789946414
1e-06,0.0005,17,0.6859233290145568,0.6186256619712769,0.9440097249709375,564.0058684551483,0.29209226311650127,2.1392755132985624,0.03257864357916319,1.7500000000000002e-06,0.001,0.0010000015312488276,32.57859369322979,0.03069500204386697
1e-06,0.0005,18,0.6304628714752604,0.5593881419862035,1.1194208492629947,562.4653796458159,0.2678891956747975,2.0526024224760953,0.029932607555949856,1.7500000000000002e-06,0.001,0.0010000015312488276,29.93256172174981,0.03340843357464366
1e-06,0.0005,19,0.5306953515174798,0.4531068495357284,1.477796561149434,568.5912408759124,0.24704111684695818,1.97547730860117,0.03140465473528643,1.7500000000000002e-06,0.001,0.0010000015312488276,31.40460664701932,0.03184246219797541
1e-06,0.0005,20,0.6128112233099514,0.5373363303811518,1.1962052211434344,570.4288136899714,0.2561359219253063,2.013895966418209,0.032365699474377285,1.7500000000000002e-06,0.001,0.0010000015312488276,32.365649914513796,0.030896954105394555
1e-06,0.0005,21,0.6358229182352055,0.5627762743656628,1.1068325590144839,557.1812979972896,0.25147441067383625,2.003773966493774,0.031059252570932092,1.7500000000000002e-06,0.001,0.0010000015312488276,31.05920501156083,0.0321965742403188
1e-06,0.0005,22,0.6679652382379383,0.5958149091528454,1.0460811416841833,554.431225651783,0.2822319040133152,2.1029169696962704,0.03228065654376766,1.7500000000000002e-06,0.001,0.0010000015312488276,32.280607114125864,0.03097835169160756
1e-06,0.0005,23,0.6520776046440574,0.5912634479875002,1.0562375647405213,565.2529789184234,0.2569160011189524,2.010814781514968,0.03299979715699786,1.7500000000000002e-06,0.001,0.0010000015312488276,32.99974662617452,0.030303262971323134
1e-06,0.0005,24,0.6226730491603981,0.5520265121150056,1.1473252075257458,562.2947344426715,0.24016893230145797,1.940001051635301,0.030708867566395976,1.7500000000000002e-06,0.001,0.0010000015312488276,30.70882054355052,0.03256393382421913
1e-06,0.0005,25,0.567700082975032,0.490851932481889,1.345568479874976,558.2301425661915,0.22670138833927922,1.8995761395521904,0.02934656990146199,1.7500000000000002e-06,0.001,0.0010000015312488276,29.346524964630046,0.03407558479940136
1e-06,0.0005,26,0.553864974386421,0.4773692255191819,1.409186468404216,565.8138236868263,0.23071645709569566,1.9141919418644742,0.03304358482675819,1.7500000000000002e-06,0.001,0.0010000015312488276,33.04353422888514,0.03026310663602823
1e-06,0.0005,27,0.685818888224746,0.6237154406627501,0.9524377864792576,552.9426180514047,0.29321815917501226,2.129405821345386,0.029961815426953996,1.7500000000000002e-06,0.001,0.0010000015312488276,29.9617695480295,0.03337586581449983
1e-06,0.0005,28,0.5526671675432006,0.4802576605914883,1.4006193144921817,556.0112697220135,0.21552712039556354,1.8516460687054384,0.02836619749565729,1.7500000000000002e-06,0.001,0.0010000015312488276,28.36615406001714,0.03525328100116071
1e-06,0.0005,29,0.578342778373411,0.5012906647189359,1.3227620232831245,566.7221626589064,0.21547916834242642,1.8603328350329718,0.030278802766977357,1.7500000000000002e-06,0.001,0.0010000015312488276,30.278756402667113,0.03302645546935061
1e-06,0.002,0,0.3038749150237933,0.23270030288246768,2.5268020276414163,558.9877634262407,0.2659485766198486,2.007193577259961,0.02955478085364265,1.7500000000000002e-06,0.004,0.0040000003828124815,7.388694506289543,0.13534190636096285
1e-06,0.002,1,0.33810757275636144,0.2630737134068648,2.3920736924295105,563.7914063690386,0.2603077338717412,1.981081379204996,0.029402808068892148,1.7500000000000002e-06,0.004,0.0040000003828124815,7.350701313737985,0.1360414411249529
1e-06,0.002,2,0.3198343304187759,0.23129158126169805,2.605518542050462,567.5899677864703,0.23757568033761345,1.886020511087879,0.03212100950549144,1.7500000000000002e-06,0.004,0.0040000003828124815,8.030251607852724,0.12452909931515813
1e-06,0.002,3,0.3478227537565164,0.2702880220379418,2.3505889862479754,567.329346826127,0.2667750773834996,2.0038202548022785,0.030185171320734817,1.7500000000000002e-06,0.004,0.0040000003828124815,7.546292107980002,0.13251541097150568
