p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,1.3333333333333333,43,1.0,0.3935789700495582,0.01496,295.66588330330393,,,,,,,,
0.01,1.3333333333333333,44,1.0,0.44137196137196133,0.01584,296.6277956476674,,,,,,,,
0.01,1.3333333333333333,45,1.0,0.3941650506356389,0.015600000000000001,296.28876254546344,,,,,,,,
0.01,1.3333333333333333,46,1.0,0.5125274725274725,0.01744,296.6184574538169,,,,,,,,
0.01,1.3333333333333333,47,1.0,0.3648394742512389,0.01468,296.43584417846716,,,,,,,,
0.01,1.3333333333333333,48,1.0,0.31308123249299713,0.015600000000000001,295.6912805704996,,,,,,,,
0.01,1.3333333333333333,49,1.0,0.47018315018315016,0.016960000000000003,296.5485454061047,,,,,,,,
0.01,1.3333333333333333,50,0.52,0.3467930762048409,0.01836,294.9593714544133,,,,,,,,
0.01,1.3333333333333333,51,1.0,0.3720405085110967,0.015880000000000002,296.2381130447399,,,,,,,,
0.01,1.3333333333333333,52,1.0,0.47505494505494505,0.0158,296.9294186980954,,,,,,,,
0.01,1.3333333333333333,53,0.52,0.4343223443223443,0.016800000000000002,295.4343696329361,,,,,,,,
0.01,1.3333333333333333,54,1.0,0.29546218487394954,0.013560000000000001,296.3895665773517,,,,,,,,
0.01,1.3333333333333333,55,1.0,0.34,0.01424,297.7529527455626,,,,,,,,
0.01,1.3333333333333333,56,1.0,0.10051599587203301,0.004719999999999999,299.6037092740233,,,,,,,,
0.01,1.3333333333333333,57,0.96,0.6564768564768565,0.01564,296.61695583850485,,,,,,,,
0.01,1.3333333333333333,58,0.64,0.22250233426704014,0.016120000000000002,295.9967537835635,,,,,,,,
0.01,1.3333333333333333,59,1.0,0.39189398836457656,0.014839999999999999,295.8563387666858,,,,,,,,
0.01,1.3333333333333333,60,1.0,0.2530718954248366,0.016560000000000002,296.4731767247057,,,,,,,,
0.01,1.3333333333333333,61,1.0,0.44676578323637145,0.01544,296.34902721608404,,,,,,,,
0.01,1.3333333333333333,62,0.6,0.6646020646020646,0.017240000000000002,296.39920179379186,,,,,,,,
0.01,1.3333333333333333,63,0.52,0.2508403361344538,0.016880000000000003,295.7451898084983,,,,,,,,
0.01,1.3333333333333333,64,0.96,0.2918372477196007,0.017320000000000002,296.3643290825764,,,,,,,,
0.01,1.3333333333333333,65,0.76,0.4694505494505494,0.017920000000000002,296.6337260532953,,,,,,,,
0.01,1.3333333333333333,66,1.0,0.4227838827838828,0.01552,295.9616099134811,,,,,,,,
0.01,1.3333333333333333,67,1.0,0.3702197802197802,0.01536,296.2880644504937,,,,,,,,
0.01,1.3333333333333333,68,0.68,0.39937728937728934,0.01644,295.5095346404484,,,,,,,,
0.01,1.3333333333333333,69,1.0,0.33526395173454,0.01652,296.099736134575,,,,,,,,
0.01,1.3333333333333333,70,0.64,0.3180629174746821,0.01668,295.9416578280865,,,,,,,,
0.01,1.3333333333333333,71,1.0,0.2521942110177404,0.016040000000000002,295.3489219064806,,,,,,,,
0.01,1.3333333333333333,72,1.0,0.38794871794871794,0.01432,296.8263574760435,,,,,,,,
0.01,1.3333333333333333,73,1.0,0.2852359405300582,0.016960000000000003,295.85185345006636,,,,,,,,
0.01,1.3333333333333333,74,0.36,0.23013071895424841,0.01616,295.3457822436167,,,,,,,,
0.01,1.3333333333333333,75,1.0,0.39574014221073045,0.01636,296.09613179003753,,,,,,,,
