p_s,shape,rep,stake_top_jaccard,stake_confidence,stake_top1_hit,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.02,1.2,74,0.3150118508942038,0.008640000000000002,1.0,590.1967172969227,,,,,,,,
0.02,1.2,75,0.2437908496732026,0.005640000000000001,1.0,594.0488462894149,,,,,,,,
0.02,1.2,76,0.3017366946778711,0.01088,0.52,589.7219869863562,,,,,,,,
0.02,1.2,77,0.43139194139194137,0.011800000000000001,0.48,589.167655002764,,,,,,,,
0.02,1.2,78,0.31030812324929974,0.011760000000000001,1.0,591.317486186831,,,,,,,,
0.02,1.2,79,0.3760439560439561,0.01088,1.0,593.2106416670911,,,,,,,,
0.02,1.2,80,0.2188422035480859,0.01088,1.0,591.4168788981948,,,,,,,,
0.02,1.2,81,0.4457509157509157,0.010360000000000001,1.0,589.2888254090184,,,,,,,,
0.02,1.2,82,0.3994871794871795,0.011879999999999996,0.48,589.1987189654117,,,,,,,,
0.02,1.2,83,0.3369123033828916,0.011680000000000001,0.84,592.4486486569392,,,,,,,,
0.02,1.2,84,0.5369030969030969,0.011280000000000002,0.64,590.0595391753926,,,,,,,,
0.02,1.2,85,0.4593406593406593,0.01152,0.76,591.7671793001778,,,,,,,,
0.02,1.2,86,0.2399719887955182,0.0108,0.92,590.7184144028091,,,,,,,,
0.02,1.2,87,0.25392383674117425,0.01156,0.36,590.5411557273826,,,,,,,,
0.02,1.2,88,0.5119413919413919,0.011120000000000001,0.52,589.3108809705618,,,,,,,,
0.02,1.2,89,0.3112863606981254,0.011800000000000001,0.34,592.1898721464389,,,,,,,,
0.02,1.2,90,0.47692307692307684,0.01052,1.0,592.106772198754,,,,,,,,
0.02,1.2,91,0.47135531135531133,0.01148,0.82,591.432528162658,,,,,,,,
0.02,1.2,92,0.4057875457875458,0.01044,1.0,592.3290579832513,,,,,,,,
0.02,1.2,93,0.3617582417582417,0.011200000000000002,0.64,590.7973050439934,,,,,,,,
0.02,1.2,94,0.24322128851540614,0.01072,1.0,589.7547935368947,,,,,,,,
0.02,1.2,95,0.39556776556776563,0.011000000000000001,0.4,592.8273759412855,,,,,,,,
0.02,1.2,96,0.47003663003663,0.01084,1.0,592.3133731301518,,,,,,,,
0.02,1.2,97,0.35380952380952385,0.01068,1.0,591.7253676340315,,,,,,,,
0.02,1.2,98,0.5665534465534465,0.011840000000000002,0.56,591.4436975182555,,,,,,,,
0.02,1.2,99,0.270140056022409,0.011280000000000002,1.0,591.5368240072924,,,,,,,,
0.02,1.2,100,0.4165001665001665,0.011200000000000002,0.96,591.027975740303,,,,,,,,
0.02,1.2,101,0.2526517273576097,0.01156,1.0,591.4408829640525,,,,,,,,
0.02,1.2,102,0.60999000999001,0.01072,0.88,588.6456896579081,,,,,,,,
0.02,1.2,103,0.35021044315161964,0.01084,1.0,590.6418811589407,,,,,,,,
0.02,1.2,104,0.19393268238469477,0.01064,0.44,591.3325460578441,,,,,,,,
0.02,1.2,105,0.32010989010989005,0.01084,1.0,592.359354134228,,,,,,,,
0.02,1.2,106,0.29525461466637937,0.012999999999999998,0.84,590.251733917177,,,,,,,,
0.02,1.2,107,0.40937728937728934,0.011120000000000001,0.92,591.1905411183419,,,,,,,,
0.02,1.2,108,0.2903828197945845,0.011040000000000001,1.0,591.0801189010992,,,,,,,,
0.02,1.2,109,0.26361344537815123,0.01048,0.8,590.272181988028,,,,,,,,
0.02,1.2,110,0.23091503267973856,0.011800000000000001,1.0,591.7833954520345,,,,,,,,
0.02,1.2,111,0.30646627881921995,0.012400000000000001,0.8,590.7531304452377,,,,,,,,
0.02,1.2,112,0.24096614084230183,0.01156,0.36,587.7533681631508,,,,,,,,
0.02,1.2,113,0.3379393808805573,0.01064,0.4,589.8964198006349,,,,,,,,
0.02,1.2,114,0.42626373626373626,0.0108,1.0,590.4905600157497,,,,,,,,
0.02,1.2,115,0.31182072829131646,0.012000000000000002,0.92,591.1887331521758,,,,,,,,
0.02,1.2,116,0.33772893772893775,0.011240000000000002,0.56,591.4921723064105,,,,,,,,
0.02,1.2,117,0.2368627450980392,0.011080000000000001,1.0,590.896287829659,,,,,,,,
0.02,1.2,118,0.47882783882783875,0.012560000000000002,0.76,590.8880602403226,,,,,,,,
0.02,1.2,119,0.3251799181210946,0.011320000000000002,1.0,591.6064102865784,,,,,,,,
0.02,1.3333333333333333,0,0.13489164086687305,0.011360000000000002,0.28,591.5846664417576,,,,,,,,
0.02,1.3333333333333333,1,0.28543920132155426,0.010960000000000001,1.0,592.4557342379557,,,,,,,,
0.02,1.3333333333333333,2,0.27170868347338933,0.009680000000000001,1.0,591.9461806402314,,,,,,,,
0.02,1.3333333333333333,3,0.3231652661064426,0.012759999999999999,0.76,590.0467552466425,,,,,,,,
0.02,1.3333333333333333,4,0.273781512605042,0.012040000000000002,0.48,592.0481311268995,,,,,,,,
0.02,1.3333333333333333,5,0.18400068799449606,0.0106,1.0,590.6236606537385,,,,,,,,
0.02,1.3333333333333333,6,0.36394527041585867,0.00912,1.0,592.5479048280322,,,,,,,,
0.02,1.3333333333333333,7,0.12442380460956314,0.00984,1.0,595.0200000543832,,,,,,,,
0.02,1.3333333333333333,8,0.26281979458450044,0.011960000000000002,0.64,591.0484720360843,,,,,,,,
0.02,1.3333333333333333,9,0.2664124111182935,0.011199999999999998,0.8,590.4700272052771,,,,,,,,
0.02,1.3333333333333333,10,0.23219421101774043,0.00892,1.0,590.4214063956872,,,,,,,,
0.02,1.3333333333333333,11,0.18137254901960784,0.006999999999999999,1.0,591.4213656812557,,,,,,,,
0.02,1.3333333333333333,12,0.3984766214177979,0.01052,0.68,591.1177178131643,,,,,,,,
0.02,1.3333333333333333,13,0.27277095453566047,0.0104,1.0,591.0044576624058,,,,,,,,
0.02,1.3333333333333333,14,0.3207843137254902,0.01156,0.64,590.8941169836354,,,,,,,,
0.02,1.3333333333333333,15,0.2904761904761905,0.00996,1.0,591.1389567792977,,,,,,,,
0.02,1.3333333333333333,16,0.2756956115779645,0.0114,1.0,592.4738677837357,,,,,,,,
0.02,1.3333333333333333,17,0.3476190476190476,0.01084,1.0,591.8041584971419,,,,,,,,
