p_s,width,attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
0.1,4,mixnet_attribution,4,0.10242198770025054,0.10008521910892179,3.3896234858265903,296.07250778224886,1.8788893317687325,12.024451928241133,0.03652018875064805,0.875,0.0,0.875,0.0417373585721692,23.959350428726168
0.1,4,mixnet_attribution,5,0.1101258147642868,0.10026905296172817,3.386075712369327,295.59633166590874,1.858303428569343,11.593362883815667,0.03283149516621932,0.875,0.0,0.875,0.037521708761393505,26.651238256742477
0.1,4,mixnet_attribution,6,0.14589062022609228,0.10004636835413322,3.3897877939218866,297.9115490375802,1.873927720123902,11.926330895298502,0.026805170431084605,0.875,0.0,0.875,0.03063448049266812,32.64295603900756
0.1,4,mixnet_attribution,7,0.12035010940919037,0.10046622444283773,3.3843330610527995,294.03591639628763,1.8816077054070774,11.712624478194483,0.03364404808855176,0.875,0.0,0.875,0.03845034067263058,26.007571909806565
0.1,4,mixnet_attribution,8,0.14166729764518815,0.10068044247550659,3.388012318456107,295.092602407814,1.87124032547581,11.685651355611826,0.043837337960647794,0.875,0.0,0.875,0.05009981481216891,19.960153620310525
0.1,4,mixnet_attribution,9,0.10975146309949077,0.10026141352521045,3.3882958541798214,296.5741430417268,1.8745034055609722,11.452548225221156,0.030357832059024183,0.875,0.0,0.875,0.03469466521031335,28.82287504255091
0.1,4,mixnet_attribution,10,0.10653734534901482,0.10021452199810175,3.3879969799505907,297.8379410416985,1.8891427911294159,11.757937390698412,0.03223092419964491,0.875,0.0,0.875,0.036835341942451326,27.14784083075222
0.1,4,mixnet_attribution,11,0.10267282501703642,0.09968869602064294,3.391021857191986,295.17884455213147,1.8610929832211696,12.141466689029707,0.023081400888841717,0.875,0.0,0.875,0.026378743872961963,37.90931080023842
0.1,4,mixnet_attribution,12,0.10075957215935513,0.09957953301133446,3.394763147972333,302.39776778793987,1.8957906220748555,11.851358704943621,0.025904686198554645,0.875,0.0,0.875,0.029605355655491022,33.77767224405987
0.1,4,mixnet_attribution,13,0.10868407032498668,0.09961509498810249,3.3929840427900566,296.929903341198,1.879237723594997,11.800449444937431,0.024377225760612256,0.875,0.0,0.875,0.027859686583556864,35.89415828497556
0.1,4,mixnet_attribution,14,0.10316013369796415,0.10000600492374342,3.3876380180605414,296.2137648131267,1.8767786390671972,11.861235858839978,0.030182854121419873,0.875,0.0,0.875,0.034494690424479856,28.989968824023126
0.1,4,mixnet_attribution,15,0.1019598871349043,0.10006108213955578,3.3880750068177754,297.4646533973919,1.8692101146734785,11.873601286369244,0.02973238659770379,0.875,0.0,0.875,0.03397987039737576,29.429188172454868
0.1,4,mixnet_attribution,16,0.11872564749025899,0.10000836116337146,3.389381510792427,297.80647872259146,1.8615311663597822,11.63310249762359,0.030533735229395446,0.875,0.0,0.875,0.034895697405023365,28.656828043678708
0.1,4,mixnet_attribution,17,0.11516194648724769,0.10016124610859513,3.3884849298729955,305.10225316851825,1.871015689568594,11.851362442743246,0.028564674159781735,0.875,0.0,0.875,0.03264534189689341,30.632241596929386
0.1,4,mixnet_attribution,18,0.09962563985025594,0.09955482694424717,3.3945528571190113,297.94934677973873,1.8869744927214924,11.922111895049815,0.028240855291939516,0.875,0.0,0.875,0.032275263190788016,30.983480880968283
0.1,4,mixnet_attribution,19,0.09703872437357632,0.09952004550149107,3.3962481523695756,295.9199696279423,1.8555447482212912,11.64157871487893,0.026914697404054916,0.875,0.0,0.875,0.030759654176062762,32.510118425785244
0.1,4,mixnet_attribution,20,0.10377787892580792,0.10054102663263263,3.384049052215223,295.77954786830526,1.886139201320475,12.160443342937006,0.03176917013759653,0.875,0.0,0.875,0.03630762301439604,27.542425446124586
0.1,4,mixnet_attribution,21,0.10531955606582473,0.09987654780663302,3.39098470999018,298.61370072713356,1.8824909947870765,12.487037135000467,0.03171621982179815,0.875,0.0,0.875,0.03624710836776931,27.588407600789292
0.1,4,mixnet_attribution,22,0.12545427013930951,0.10081848632207349,3.380772786204837,295.32684736523316,1.870549934974406,11.234941562154088,0.030058299349770022,0.875,0.0,0.875,0.03435234211402288,29.11009667640078
0.1,4,mixnet_attribution,23,0.10991445157347998,0.10022931020567627,3.3879047363883865,298.2503055300947,1.8907366818166338,11.578544231474428,0.025122167790143243,0.875,0.0,0.875,0.02871104890302085,34.82979682761727
0.1,4,mixnet_attribution,24,0.09632819582955576,0.10025886515437674,3.3866356351096916,294.9532336053188,1.87417207256658,11.662818061513438,0.030325491715875938,0.875,0.0,0.875,0.03465770481814393,28.85361293389752
0.1,4,mixnet_attribution,25,0.11261058629479682,0.10001112527382004,3.3891281176661003,292.5931174089069,1.896909939154284,12.132385691138554,0.02857532203845672,0.875,0.0,0.875,0.032657510901093395,30.62082725865428
0.1,4,mixnet_attribution,26,0.11484679452892183,0.10005566689686529,3.389937944863513,297.9845648353328,1.8628432032419369,11.996634792020291,0.029757146273298292,0.875,0.0,0.875,0.03400816716948376,29.40470137706571
0.1,4,mixnet_attribution,27,0.10079855356335694,0.09998744922686925,3.3905013642182977,293.6951936115715,1.8681177633989137,11.615871967972222,0.0329300952872175,0.875,0.0,0.875,0.037634394613962854,26.57143844766369
0.1,4,mixnet_attribution,28,0.10702035216098787,0.10018476455161036,3.388908709058108,297.42762405671164,1.886582263483433,11.806498224312652,0.03167215634086138,0.875,0.0,0.875,0.03619675010384158,27.626789618714128
0.1,4,mixnet_attribution,29,0.10685056077599273,0.09971944238355034,3.394875619150142,295.40284934828736,1.8737028132018168,11.587877097259147,0.033857290511051574,0.875,0.0,0.875,0.03869404629834466,25.843769149642547
0.1,4,mixnet_attribution_oracle,0,0.38702427329937067,0.3723106254111894,1.6123224144024784,292.193661971831,1.8821195430355147,11.918176744152792,0.026773868473524004,0.875,0.0,0.875,0.030598706826884575,32.68111968448882
0.1,4,mixnet_attribution_oracle,1,0.3677054689886954,0.370075926999276,1.6172647214655957,297.7450351359609,1.8728340056550223,11.834911498168996,0.02543612742152676,0.875,0.0,0.875,0.029069859910316298,34.399890576876174
0.1,4,mixnet_attribution_oracle,2,0.3775222721388868,0.3698077521100825,1.6151875209565316,297.1495469428158,1.8847967600158881,11.829074442373184,0.03216175172510057,0.875,0.0,0.875,0.036756287685829225,27.206229544925815
0.1,4,mixnet_attribution_oracle,3,0.3725208175624527,0.3702688561845518,1.6189929669163012,295.21279333838004,1.8577650287770666,11.288874792448278,0.025049755198051773,0.875,0.0,0.875,0.028628291654916312,34.930481079833164
0.1,4,mixnet_attribution_oracle,4,0.37068181818181817,0.3686645149303882,1.6239148752003503,295.5822727272727,1.8755098043766338,11.35877056917638,0.03004232755063076,0.875,0.0,0.875,0.0343340886292923,29.125572861335396
0.1,4,mixnet_attribution_oracle,5,0.37209126624357813,0.37019890055091925,1.6195852268349915,294.4914626775461,1.888649394910317,12.052288449853561,0.03269389665588639,0.875,0.0,0.875,0.037364453321013014,26.76340508473652
0.1,4,mixnet_attribution_oracle,6,0.3753001200480192,0.3724910287698086,1.6105947920537247,292.44342737094837,1.8879860905290116,11.689908756238037,0.02588681414387243,0.875,0.0,0.875,0.029584930450139917,33.800992085660646
0.1,4,mixnet_attribution_oracle,7,0.37231376718049963,0.3677050857213182,1.6241928655451678,296.24140025818207,1.8768152824486606,11.35265597669282,0.02981564533270337,0.875,0.0,0.875,0.03407502323737528,29.347008600221507
0.1,4,mixnet_attribution_oracle,8,0.3763993948562784,0.3708712083615202,1.616241774047449,294.85484114977305,1.878113588114502,11.910200613922864,0.03357536357209058,0.875,0.0,0.875,0.038371844082389236,26.06077513118402
