width,mix_scale,attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1,1e-06,mixnet_attribution,23,0.9971262194660818,0.9966744100899204,0.0069906537341639175,2942.512894199501,0.27706302190199494,2.0986939833704255,0.033643464081989205,1.7500000000000002e-06,0.0,1.7500000000000002e-06,19224.836618279543,5.201604673452311e-05
1,1e-06,mixnet_attribution,24,0.9965734755860135,0.9956406625061841,0.00940963192457977,3028.2020091893155,0.21797886973945424,1.8741978154210854,0.03277733407905523,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18729.90518803156,5.3390553233499636e-05
1,1e-06,mixnet_attribution,25,0.9967392128611511,0.9958973506458462,0.008541219252029773,2948.5870175172518,0.2354636143136304,1.931164021250344,0.03145196933562584,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17972.55390607191,5.564039508387045e-05
1,1e-06,mixnet_attribution,26,0.9970297764906809,0.996381310783342,0.0075586430930491815,2888.0435137744116,0.25729099311865866,2.0307131585518605,0.03216876899050947,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18382.153708862556,5.440058960653081e-05
1,1e-06,mixnet_attribution,27,0.9971104858946088,0.9965971155038126,0.007412864891213982,2957.3759409930803,0.27499280901975,2.0819426672961825,0.029695048462681443,1.7500000000000002e-06,0.0,1.7500000000000002e-06,16968.59912153225,5.8932384036997675e-05
1,1e-06,mixnet_attribution,28,0.9968833143291524,0.9962293050403286,0.008094568964004031,2957.0612694792853,0.2383632403507363,1.937761322106458,0.03504724831472966,1.7500000000000002e-06,0.0,1.7500000000000002e-06,20026.999036988374,4.993259340318909e-05
1,1e-06,mixnet_attribution,29,0.9972176267107836,0.9965256000594448,0.008041181949781736,2924.2181531057304,0.23245111154392362,1.9249547072867272,0.032111017324270075,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18349.152756725754,5.449842906961777e-05
1,1e-06,mixnet_attribution_oracle,0,0.9971029961119159,0.9959810686056456,0.008716978890953613,2964.8123808797745,0.20639775326708332,1.820713584634555,0.03319537069917352,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18968.78325667058,5.271819422831662e-05
1,1e-06,mixnet_attribution_oracle,1,0.9967970716083276,0.9954693069732009,0.010466135443485739,2965.77297338519,0.26670306429150514,2.0727119647340757,0.03798961402233111,1.7500000000000002e-06,0.0,1.7500000000000002e-06,21708.350869903486,4.606522190436873e-05
1,1e-06,mixnet_attribution_oracle,2,0.9980842911877394,0.997274895773121,0.006274671506738941,2979.3110344827587,0.2557770815328695,2.01569132497995,0.030860201554098545,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17634.40088805631,5.6707341879547205e-05
1,1e-06,mixnet_attribution_oracle,3,0.9970959113488728,0.9963809706994732,0.008163643373267837,2972.081390905617,0.2262236417736858,1.9155801714786689,0.03499386923511453,1.7500000000000002e-06,0.0,1.7500000000000002e-06,19996.49670577973,5.000875976995325e-05
1,1e-06,mixnet_attribution_oracle,4,0.9961354853375767,0.995968739656934,0.008246767507081134,2947.0064408577705,0.22990742771071382,1.90811123040409,0.03232218981077632,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18469.82274901504,5.414237123923283e-05
1,1e-06,mixnet_attribution_oracle,5,0.997542242703533,0.9966115375967664,0.007359707255497941,2986.6261904761905,0.18363885505823418,1.7219686872920754,0.035049394612372664,1.7500000000000002e-06,0.0,1.7500000000000002e-06,20028.22549278438,4.9929535712500974e-05
1,1e-06,mixnet_attribution_oracle,6,0.998019801980198,0.9973298871240753,0.005732002263214478,2961.9561309977153,0.24103437838493846,1.956480382408278,0.03344766492996738,1.7500000000000002e-06,0.0,1.7500000000000002e-06,19112.95138855279,5.232054326256092e-05
1,1e-06,mixnet_attribution_oracle,7,0.9984802431610942,0.9970786335249572,0.007109655123158881,2955.2919452887536,0.2051898731442634,1.8113172332889607,0.03118910533319389,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17822.34590468222,5.610933629883615e-05
1,1e-06,mixnet_attribution_oracle,8,0.9972579785208318,0.9958920299906898,0.00922960612752045,2961.665092543225,0.18978699092986062,1.743719056116384,0.03282684715483587,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18758.198374191925,5.3310023705465714e-05
1,1e-06,mixnet_attribution_oracle,9,0.9974116930572473,0.9968145080799461,0.006492542431008491,2960.375,0.23290597173036076,1.9305510036929434,0.03311759424936489,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18924.339571065648,5.284200255679987e-05
1,1e-06,mixnet_attribution_oracle,10,0.9982825567502986,0.9969013798184668,0.007802470751676483,2903.8109318996417,0.271075291238958,2.077865438681256,0.034598488849078284,1.7500000000000002e-06,0.0,1.7500000000000002e-06,19770.56505661616,5.0580243768265644e-05
1,1e-06,mixnet_attribution_oracle,11,0.9971078468681026,0.996318065206831,0.007800451581147176,2959.5683080904178,0.24620301739196293,1.9748385594297204,0.03232273760246458,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18470.135772836904,5.414145365789079e-05
1,1e-06,mixnet_attribution_oracle,12,0.9975729996207812,0.9969562768678674,0.006899559379029015,2950.0433826317785,0.19772432043100707,1.7842120631712675,0.03328258160856626,1.7500000000000002e-06,0.0,1.7500000000000002e-06,19018.618062037858,5.258005585569077e-05
1,1e-06,mixnet_attribution_oracle,13,0.9966494060310691,0.9961546873492322,0.00870616315468691,2960.9393085592446,0.24549159524030983,1.9697737410051075,0.03298276170456144,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18847.292402606538,5.305801908510224e-05
