mix_scale,attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,eta,inv_eta
0.0001,mixnet_attribution,34,0.8907232109049602,0.8666782233735173,0.3020663780133337,560.4244604316547,0.2430320080020465,1.9599520033429103,0.03221785394174672,0.00017500000000000003,184.10202252426694,0.005431770853403783
0.0001,mixnet_attribution,35,0.899336536261725,0.8698809081002088,0.2942407605679878,564.3493479752917,0.2581628708576318,2.014956823388671,0.030999116890259387,0.00017500000000000003,177.13781080148217,0.005645322110933712
0.0001,mixnet_attribution,36,0.9130968831567634,0.882967091898578,0.2640379742819821,568.1119299861815,0.2433952511055395,1.9658488735660473,0.03221583044000441,0.00017500000000000003,184.09045965716803,0.005432112027219127
0.0001,mixnet_attribution,37,0.871690895179801,0.8406333939659411,0.36372507385214936,566.2027543993879,0.2569083116541151,2.015811050643861,0.030456911210983446,0.00017500000000000003,174.0394926341911,0.005745822312306282
0.0001,mixnet_attribution,38,0.9101442602823818,0.8853444423278143,0.26034595063668425,567.8508287292817,0.26896280888468027,2.0539856571520843,0.033117832575106886,0.00017500000000000003,189.2447575720393,0.005284162229008286
0.0001,mixnet_attribution,39,0.890753112663225,0.8644392886822557,0.3065171636613777,561.8259945338597,0.24167159976786934,1.9655731369070542,0.0303337992377403,0.00017500000000000003,173.33599564423028,0.0057691421581728825
0.0001,mixnet_attribution,40,0.9024280237540404,0.8737409636408511,0.28723993087468863,556.3033150417199,0.23952903650933877,1.9524293742672632,0.03167221134131593,0.00017500000000000003,180.9840648075196,0.005525348328669274
0.0001,mixnet_attribution,41,0.9165464348090212,0.892510688012174,0.24592229359520915,561.953755030754,0.2617614628979936,2.0364420798281664,0.0318855967119964,0.00017500000000000003,182.20340978283656,0.005488371492014741
0.0001,mixnet_attribution,42,0.8980206216602694,0.8676931283282573,0.30360723958070257,556.9720027094152,0.2441587034263648,1.9683796112579004,0.03070034333982738,0.00017500000000000003,175.43053337044213,0.00570026198283501
0.0001,mixnet_attribution,43,0.8811797320190975,0.8522712191470616,0.33861467928989936,569.8587709841368,0.229179922665935,1.9053371898514229,0.03013299529071179,0.00017500000000000003,172.18854451835307,0.005807587274735416
0.0001,mixnet_attribution,44,0.8632530578135683,0.8282174220118537,0.3950374296720953,562.2094507331155,0.24793671019142494,1.9765590471528465,0.030947965740692744,0.00017500000000000003,176.84551851824423,0.005654652763489934
0.0001,mixnet_attribution,45,0.886772243898707,0.8558796493350805,0.32645099452000026,566.1595134266697,0.24887653067708015,1.9923217516783496,0.03379816826058822,0.00017500000000000003,193.1323900605041,0.005177795395618115
0.0001,mixnet_attribution,46,0.9109803337306317,0.8860819922957998,0.2598041439158797,551.2979737783076,0.2548775981995277,2.035870480970832,0.03230182530736899,0.00017500000000000003,184.58185889925136,0.005417650499152362
0.0001,mixnet_attribution,47,0.9427019583843329,0.9240064914712343,0.17209859798509067,566.1162790697674,0.2866933840268757,2.144268921580185,0.030707612360648846,0.00017500000000000003,175.4720706322791,0.005698912632629778
0.0001,mixnet_attribution,48,0.897021019204597,0.8649766028731117,0.3092335572880816,559.5362165431725,0.24113680791924708,1.959756507828126,0.029423509281867443,0.00017500000000000003,168.13433875352823,0.005947625020644484
0.0001,mixnet_attribution,49,0.8746720635634511,0.840537088765728,0.3691030383605397,554.7216100742073,0.2458778394793626,1.9666650325877901,0.030334903145111634,0.00017500000000000003,173.34230368635218,0.005768932215239352
0.0001,mixnet_attribution_oracle,0,0.9723323113736634,0.963799092008333,0.08056458720645439,553.3966200553353,0.25690374290570617,2.0206909204184056,0.032745906438709435,0.00017500000000000003,187.1194653640539,0.005344179442018128
0.0001,mixnet_attribution_oracle,1,0.9738087965791081,0.968206297173986,0.07000360594541527,565.0806353084912,0.2740637020615395,2.079466126140756,0.03196474327564638,0.00017500000000000003,182.65567586083642,0.005474781964957334
0.0001,mixnet_attribution_oracle,2,0.9720700563228146,0.9645762877520179,0.07676892174648002,570.9560219118895,0.27823795584845357,2.1033093343733102,0.031581327518791315,0.00017500000000000003,180.4647286788075,0.005541249014813347
0.0001,mixnet_attribution_oracle,3,0.9730941704035875,0.9634563186230247,0.08394427412752967,562.4653796458159,0.28286329767433926,2.129982318760993,0.03050767867046018,0.00017500000000000003,174.32959240262957,0.005736260758818341
0.0001,mixnet_attribution_oracle,4,0.9749221065430503,0.9670712462894134,0.07375676990900461,562.3800440762976,0.2610609738912899,2.0522896672210402,0.03152830973366478,0.00017500000000000003,180.16176990665585,0.005550567140398948
0.0001,mixnet_attribution_oracle,5,0.9717314487632509,0.9647636463860869,0.07802529967966407,568.4604393916117,0.2393062902847305,1.9644824752798278,0.030447083909853977,0.00017500000000000003,173.98333662773697,0.005747676871720466
0.0001,mixnet_attribution_oracle,6,0.9469598965071151,0.9397535096983644,0.12613637143390896,563.1489993151206,0.2839490303886123,2.1262616016781073,0.03170514955811085,0.00017500000000000003,181.17228318920485,0.005519608090138509
0.0001,mixnet_attribution_oracle,7,0.973918427366303,0.9660600372801255,0.0760791791743477,572.7204550731368,0.23121615455602296,1.912569499654362,0.0325170253004814,0.00017500000000000003,185.81157314560798,0.005381796101668907
0.0001,mixnet_attribution_oracle,8,0.9724367711646221,0.964947150122648,0.07777091024585087,560.3820990458883,0.28379820586997084,2.1363923074874425,0.0325924303054926,0.00017500000000000003,186.24245888852911,0.005369344917200248
0.0001,mixnet_attribution_oracle,9,0.9723727390673892,0.9631482803998939,0.08271240471178488,564.7792871861406,0.28669455443741754,2.1473674370124343,0.029895005321872052,0.00017500000000000003,170.82860183926886,0.005853820667225804
0.0001,mixnet_attribution_oracle,10,0.9761509433962264,0.9694660667682777,0.06826843831353185,558.5245283018868,0.23783505914616399,1.9509700820184759,0.03163180107471095,0.00017500000000000003,180.75314899834825,0.005532407073080304
0.0001,mixnet_attribution_oracle,11,0.9715245438583098,0.9644866335347305,0.07623421046068958,564.9514466753187,0.2050934641447384,1.8282294576409197,0.031000566897961365,0.00017500000000000003,177.1460965597792,0.005645058058970794
0.0001,mixnet_attribution_oracle,12,0.9744777819977213,0.9658303945411915,0.07738805674159017,562.1241929358147,0.2576630520343315,2.0265790188986834,0.029937854894067063,0.00017500000000000003,171.07345653752606,0.005845442187465497
0.0001,mixnet_attribution_oracle,13,0.9683890577507599,0.9609831571108733,0.08422561080929941,562.3373860182371,0.260656093218131,2.0450481848260633,0.030085002156619925,0.00017500000000000003,171.9142980378281,0.005816851834976282
0.0001,mixnet_attribution_oracle,14,0.9768629807692307,0.9688077635951842,0.07110034746490496,555.9278846153846,0.2676193518273067,2.0779668415787578,0.032506400292641575,0.00017500000000000003,185.7508588150947,0.005383555189887159
0.0001,mixnet_attribution_oracle,15,0.9727382570608669,0.9648395373215937,0.07851331877888648,558.861350249207,0.2404410179296974,1.957378111895572,0.0335407849480004,0.00017500000000000003,191.66162827428795,0.005217528458898902
