entry_assignment,width,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,eta,inv_eta
split,2,26,0.8775789874381423,0.8407250510970603,0.37005009391015453,563.4057860677578,0.23224654802470468,1.9049427283739049,0.03039614713723743,0.00017500000000000003,173.69226935564245,0.005757308622368545
split,2,27,0.9266062037954425,0.9071995040495182,0.20685086001332054,564.0058684551483,0.2904138001613319,2.1455779613542276,0.03257864357916319,0.00017500000000000003,186.1636775952182,0.005371617132394284
split,2,28,0.9084137721365053,0.8840642356475966,0.25973805408434664,562.4653796458159,0.2662102995091118,2.057216516396325,0.029932607555949856,0.00017500000000000003,171.04347174828487,0.005846466923167019
split,2,29,0.8658470995005763,0.8293969073455886,0.38795541304283016,568.5912408759124,0.24536361504578963,1.979713573006708,0.03140465473528643,0.00017500000000000003,179.45516991592245,0.0055724223518805035
split,2,30,0.9058814460803206,0.8787001367166444,0.2757159497107248,570.4288136899714,0.25445790914818645,2.018307783070268,0.032365699474377285,0.00017500000000000003,184.94685413929875,0.005406958689044894
split,2,31,0.9131907845204036,0.8873536237132239,0.2575582689276789,557.1812979972896,0.24979644385166466,2.008645417273075,0.031059252570932092,0.00017500000000000003,177.48144326246907,0.005634391864399854
split,2,32,0.9165418040155828,0.8922800484145199,0.24943680087347833,554.431225651783,0.2805539011606015,2.1083593492827153,0.03228065654376766,0.00017500000000000003,184.46089453581519,0.005421203244820211
split,2,33,0.9045982279254506,0.8799637952554441,0.27177089242607233,565.2529789184234,0.2552382714638952,2.015262951012894,0.03299979715699786,0.00017500000000000003,188.57026946855916,0.005303062899672702
split,2,34,0.9099612491452017,0.8840747135756732,0.26423650119692693,562.2947344426715,0.23849026445532218,1.9437250682612883,0.030708867566395976,0.00017500000000000003,175.4792432365484,0.005698679693141749
split,2,35,0.8857961831485253,0.85643105118923,0.3237174956955402,558.2301425661915,0.2250234593229834,1.902579458750534,0.02934656990146199,0.00017500000000000003,167.69468515121136,0.005963218208724348
split,2,36,0.8752198180289013,0.8423640784733817,0.35995847641945977,565.8138236868263,0.22903804024099372,1.917860400235252,0.03304358482675819,0.00017500000000000003,188.8204847243325,0.005296035551756712
split,2,37,0.923341303048416,0.9029322453088908,0.21693887992391306,552.9426180514047,0.29154040943831205,2.1349141704828636,0.029961815426953996,0.00017500000000000003,171.21037386830852,0.005840767573868972
split,2,38,0.8764087152516905,0.8458957950665255,0.3532487242956628,556.0112697220135,0.21384926440077834,1.855004063863848,0.02836619749565729,0.00017500000000000003,162.09255711804164,0.00616931472844718
split,2,39,0.8880379843773931,0.8585728427546195,0.32282230622204916,566.7221626589064,0.21379981821519323,1.8631755870550593,0.030278802766977357,0.00017500000000000003,173.02173009701343,0.005779620857098696
split,2,40,0.9070926807160662,0.8833042144605151,0.26236255660652225,558.9877634262407,0.2582742115773726,2.0212351508161905,0.02955478085364265,0.00017500000000000003,168.8844620208151,0.00592120783661406
