attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
mixnet_attribution_oracle,11,0.01637588001224365,0.013378298187853436,6.235873369324097,8925.610805019896,1.8670761116954964,7.502744715261663,0.03315102705153173,0.875,0.0,0.875,0.037886888058893405,26.394355705476432
mixnet_attribution_oracle,12,0.013211229545113347,0.013389615798891003,6.23368587402147,8756.302507131062,1.882065297337249,7.657274963604629,0.03362276822089075,0.875,0.0,0.875,0.03842602082387514,26.02403211572385
mixnet_attribution_oracle,13,0.015302626570232203,0.01336856538327087,6.235412347157851,8880.65808907499,1.8740635658905376,7.5915298706342815,0.03361144588242094,0.875,0.0,0.875,0.03841308100848107,26.032798560969738
mixnet_attribution_oracle,14,0.015343714394227118,0.013360275214785142,6.236016965399734,8861.060919103684,1.8658987738308497,7.462197731889846,0.0331767466019621,0.875,0.0,0.875,0.037916281830813824,26.373894055912398
mixnet_attribution_oracle,15,0.012910618792971734,0.013366398752224295,6.235673681629666,8912.617341482048,1.8817984022607561,7.631671789073069,0.034374564042789955,0.875,0.0,0.875,0.0392852160489028,25.454868283152255
mixnet_attribution_oracle,16,0.01634235329887504,0.013392155321080975,6.2336711690918625,8869.338704773487,1.9026641511300113,7.6779201583991,0.0327566629476167,0.875,0.0,0.875,0.037436186225847656,26.712122703074765
mixnet_attribution_oracle,17,0.017754649116093976,0.013367192434115743,6.235341284758159,8927.914364429478,1.8609300647804048,7.536590501168668,0.03394443432271395,0.875,0.0,0.875,0.0387936392259588,25.77742176173173
mixnet_attribution_oracle,18,0.014560146363774966,0.01337814842694088,6.234797423012862,8890.450449763683,1.8958279233775102,7.596243746188686,0.033186998616388526,0.875,0.0,0.875,0.03792799841872974,26.365746722510313
mixnet_attribution_oracle,19,0.01314993954050786,0.013359443611398495,6.237601280328716,8817.723473397824,1.866764396225335,7.544949539867267,0.03311194018040485,0.875,0.0,0.875,0.03784221734903411,26.42551282808284
mixnet_attribution_oracle,20,0.014146377782741418,0.01339506184742762,6.232993255413819,8685.130891221801,1.8727064352715388,7.501886398273611,0.03292853448584782,0.875,0.0,0.875,0.03763261084096894,26.572697924836636
mixnet_attribution_oracle,21,0.01717819514429684,0.013380857049591823,6.233836380821662,8905.8332569858,1.873376415198436,7.5900061321163435,0.032743261650614156,0.875,0.0,0.875,0.03742087045784475,26.723055550685736
mixnet_attribution_oracle,22,0.015998197386210004,0.01338350080907971,6.2331492962603114,8762.74155024786,1.8545347439940087,7.4458524751193185,0.032125856747420696,0.875,0.0,0.875,0.03671526485419508,27.23662770706501
mixnet_attribution_oracle,23,0.013290040021143245,0.013376455366269187,6.2344905039956675,8807.923204711924,1.8709217374271248,7.465452602981981,0.033575466867690945,0.875,0.0,0.875,0.03837196213450394,26.0606949546842
mixnet_attribution_oracle,24,0.01743620444510963,0.013367156500463023,6.236823223461023,8729.20115243583,1.862578231957741,7.593680319891461,0.033069541694617934,0.875,0.0,0.875,0.03779376193670621,26.459392999159896
mixnet_attribution_oracle,25,0.013650575764508503,0.01335291600762477,6.2367248696776345,8895.837108213223,1.8656017392058857,7.53593735310284,0.032831128450982426,0.875,0.0,0.875,0.03752128965826563,26.651535944199836
mixnet_attribution_oracle,26,0.015736766809728183,0.013368683305827184,6.236212287915605,8783.688577667344,1.8619684339209925,7.522577806726088,0.032434383297143966,0.875,0.0,0.875,0.03706786662530739,26.977543922564692
mixnet_attribution_oracle,27,0.015021459227467811,0.01338776750728228,6.234680044671163,8940.87706928265,1.9034121613076422,7.571823767374962,0.03401248006908838,0.875,0.0,0.875,0.038871405793243864,25.72585116470903
mixnet_attribution_oracle,28,0.012723598533043935,0.013378465078436557,6.234689171910349,8731.075667988924,1.882146265474148,7.6234166726372985,0.031923589507345355,0.875,0.0,0.875,0.03648410229410898,27.409198448647814
mixnet_attribution_oracle,29,0.014944719786504003,0.013353525734886636,6.236507948504401,8894.990697674419,1.8878380347159691,7.59424368142609,0.03294245753094866,0.875,0.0,0.875,0.037648522892512755,26.561467042279954
